"","date","tempF"
"7787",2021-08-13 10:30:00,70.5281372070312
"7788",2021-08-13 10:45:00,70.6825790405273
"7789",2021-08-13 11:00:00,70.7598037719727
"7790",2021-08-13 11:15:00,70.9914627075195
"7791",2021-08-13 11:30:00,70.9914627075195
"7792",2021-08-13 11:45:00,71.2231216430664
"7793",2021-08-13 12:00:00,71.3775634765625
"7794",2021-08-13 12:15:00,71.5320053100586
"7795",2021-08-13 12:30:00,71.763671875
"7796",2021-08-13 12:45:00,71.9953308105469
"7797",2021-08-13 13:00:00,72.2269973754883
"7798",2021-08-13 13:15:00,72.3814392089844
"7799",2021-08-13 13:30:00,72.5358734130859
"7800",2021-08-13 13:45:00,72.8447570800781
"7801",2021-08-13 14:00:00,72.8447570800781
"7802",2021-08-13 14:15:00,73.2308654785156
"7803",2021-08-13 14:30:00,73.4625244140625
"7804",2021-08-13 14:45:00,73.3853073120117
"7805",2021-08-13 15:00:00,73.4625244140625
"7806",2021-08-13 15:15:00,73.4625244140625
"7807",2021-08-13 15:30:00,73.3853073120117
"7808",2021-08-13 15:45:00,73.3853073120117
"7809",2021-08-13 16:00:00,73.1536407470703
"7810",2021-08-13 16:15:00,73.2308654785156
"7811",2021-08-13 16:30:00,73.2308654785156
"7812",2021-08-13 16:45:00,73.1536407470703
"7813",2021-08-13 17:00:00,73.1536407470703
"7814",2021-08-13 17:15:00,73.1536407470703
"7815",2021-08-13 17:30:00,73.0764236450195
"7816",2021-08-13 17:45:00,73.1536407470703
"7817",2021-08-13 18:00:00,73.0764236450195
"7818",2021-08-13 18:15:00,72.9991989135742
"7819",2021-08-13 18:30:00,72.9991989135742
"7820",2021-08-13 18:45:00,72.9991989135742
"7821",2021-08-13 19:00:00,72.9991989135742
"7822",2021-08-13 19:15:00,72.9219818115234
"7823",2021-08-13 19:30:00,72.7675399780273
"7824",2021-08-13 19:45:00,72.7675399780273
"7825",2021-08-13 20:00:00,72.690315246582
"7826",2021-08-13 20:15:00,72.6130981445312
"7827",2021-08-13 20:30:00,72.6130981445312
"7828",2021-08-13 20:45:00,72.6130981445312
"7829",2021-08-13 21:00:00,72.4586563110352
"7830",2021-08-13 21:15:00,72.3042144775391
"7831",2021-08-13 21:30:00,72.3042144775391
"7832",2021-08-13 21:45:00,72.3042144775391
"7833",2021-08-13 22:00:00,72.2269973754883
"7834",2021-08-13 22:15:00,72.149772644043
"7835",2021-08-13 22:30:00,72.149772644043
"7836",2021-08-13 22:45:00,71.9953308105469
"7837",2021-08-13 23:00:00,72.0725555419922
"7838",2021-08-13 23:15:00,71.9953308105469
"7839",2021-08-13 23:30:00,71.9953308105469
"7840",2021-08-13 23:45:00,71.9181137084961
"7841",2021-08-14 00:00:00,71.8408889770508
"7842",2021-08-14 00:15:00,71.763671875
"7843",2021-08-14 00:30:00,71.6092300415039
"7844",2021-08-14 00:45:00,71.6864471435547
"7845",2021-08-14 01:00:00,71.5320053100586
"7846",2021-08-14 01:15:00,71.5320053100586
"7847",2021-08-14 01:30:00,71.5320053100586
"7848",2021-08-14 01:45:00,71.5320053100586
"7849",2021-08-14 02:00:00,71.4547882080078
"7850",2021-08-14 02:15:00,71.3775634765625
"7851",2021-08-14 02:30:00,71.3775634765625
"7852",2021-08-14 02:45:00,71.2231216430664
"7853",2021-08-14 03:00:00,71.2231216430664
"7854",2021-08-14 03:15:00,71.2231216430664
"7855",2021-08-14 03:30:00,71.1459045410156
"7856",2021-08-14 03:45:00,71.0686798095703
"7857",2021-08-14 04:00:00,70.9914627075195
"7858",2021-08-14 04:15:00,70.9914627075195
"7859",2021-08-14 04:30:00,70.9142456054688
"7860",2021-08-14 04:45:00,70.8370208740234
"7861",2021-08-14 05:00:00,70.7598037719727
"7862",2021-08-14 05:15:00,70.7598037719727
"7863",2021-08-14 05:30:00,70.6825790405273
"7864",2021-08-14 05:45:00,70.6053619384766
"7865",2021-08-14 06:00:00,70.5281372070312
"7866",2021-08-14 06:15:00,70.5281372070312
"7867",2021-08-14 06:30:00,70.4509201049805
"7868",2021-08-14 06:45:00,70.4509201049805
"7869",2021-08-14 07:00:00,70.4509201049805
"7870",2021-08-14 07:15:00,70.2964782714844
"7871",2021-08-14 07:30:00,70.4509201049805
"7872",2021-08-14 07:45:00,70.2964782714844
"7873",2021-08-14 08:00:00,70.3736953735352
"7874",2021-08-14 08:15:00,70.4509201049805
"7875",2021-08-14 08:30:00,70.5281372070312
"7876",2021-08-14 08:45:00,70.5281372070312
"7877",2021-08-14 09:00:00,70.5281372070312
"7878",2021-08-14 09:15:00,70.6053619384766
"7879",2021-08-14 09:30:00,70.6825790405273
"7880",2021-08-14 09:45:00,70.7598037719727
"7881",2021-08-14 10:00:00,70.7598037719727
"7882",2021-08-14 10:15:00,70.9914627075195
"7883",2021-08-14 10:30:00,71.1459045410156
"7884",2021-08-14 10:45:00,71.2231216430664
"7885",2021-08-14 11:00:00,71.3775634765625
"7886",2021-08-14 11:15:00,71.3003463745117
"7887",2021-08-14 11:30:00,71.3775634765625
"7888",2021-08-14 11:45:00,71.4547882080078
"7889",2021-08-14 12:00:00,71.6092300415039
"7890",2021-08-14 12:15:00,71.6092300415039
"7891",2021-08-14 12:30:00,71.763671875
"7892",2021-08-14 12:45:00,71.9181137084961
"7893",2021-08-14 13:00:00,71.9181137084961
"7894",2021-08-14 13:15:00,71.9953308105469
"7895",2021-08-14 13:30:00,71.9181137084961
"7896",2021-08-14 13:45:00,71.9953308105469
"7897",2021-08-14 14:00:00,72.0725555419922
"7898",2021-08-14 14:15:00,72.5358734130859
"7899",2021-08-14 14:30:00,72.690315246582
"7900",2021-08-14 14:45:00,72.7675399780273
"7901",2021-08-14 15:00:00,72.690315246582
"7902",2021-08-14 15:15:00,72.9219818115234
"7903",2021-08-14 15:30:00,72.9991989135742
"7904",2021-08-14 15:45:00,73.0764236450195
"7905",2021-08-14 16:00:00,72.9219818115234
"7906",2021-08-14 16:15:00,72.9219818115234
"7907",2021-08-14 16:30:00,72.8447570800781
"7908",2021-08-14 16:45:00,72.8447570800781
"7909",2021-08-14 17:00:00,72.9219818115234
"7910",2021-08-14 17:15:00,72.7675399780273
"7911",2021-08-14 17:30:00,72.7675399780273
"7912",2021-08-14 17:45:00,72.7675399780273
"7913",2021-08-14 18:00:00,72.690315246582
"7914",2021-08-14 18:15:00,72.690315246582
"7915",2021-08-14 18:30:00,72.6130981445312
"7916",2021-08-14 18:45:00,72.5358734130859
"7917",2021-08-14 19:00:00,72.5358734130859
"7918",2021-08-14 19:15:00,72.4586563110352
"7919",2021-08-14 19:30:00,72.3042144775391
"7920",2021-08-14 19:45:00,72.2269973754883
"7921",2021-08-14 20:00:00,72.2269973754883
"7922",2021-08-14 20:15:00,72.0725555419922
"7923",2021-08-14 20:30:00,72.0725555419922
"7924",2021-08-14 20:45:00,71.9953308105469
"7925",2021-08-14 21:00:00,71.9953308105469
"7926",2021-08-14 21:15:00,71.9181137084961
"7927",2021-08-14 21:30:00,71.763671875
"7928",2021-08-14 21:45:00,71.6092300415039
"7929",2021-08-14 22:00:00,71.5320053100586
"7930",2021-08-14 22:15:00,71.5320053100586
"7931",2021-08-14 22:30:00,71.5320053100586
"7932",2021-08-14 22:45:00,71.3003463745117
"7933",2021-08-14 23:00:00,71.2231216430664
"7934",2021-08-14 23:15:00,71.1459045410156
"7935",2021-08-14 23:30:00,70.9914627075195
"7936",2021-08-14 23:45:00,70.9142456054688
"7937",2021-08-15 00:00:00,70.6825790405273
"7938",2021-08-15 00:15:00,70.6825790405273
"7939",2021-08-15 00:30:00,70.4509201049805
"7940",2021-08-15 00:45:00,70.3736953735352
"7941",2021-08-15 01:00:00,70.2964782714844
"7942",2021-08-15 01:15:00,70.1420364379883
"7943",2021-08-15 01:30:00,69.9875946044922
"7944",2021-08-15 01:45:00,69.8331527709961
"7945",2021-08-15 02:00:00,69.7559280395508
"7946",2021-08-15 02:15:00,69.6787109375
"7947",2021-08-15 02:30:00,69.6787109375
"7948",2021-08-15 02:45:00,69.6014938354492
"7949",2021-08-15 03:00:00,69.4470520019531
"7950",2021-08-15 03:15:00,69.3698272705078
"7951",2021-08-15 03:30:00,69.292610168457
"7952",2021-08-15 03:45:00,69.2153854370117
"7953",2021-08-15 04:00:00,69.1381683349609
"7954",2021-08-15 04:15:00,68.9837265014648
"7955",2021-08-15 04:30:00,68.8292846679688
"7956",2021-08-15 04:45:00,68.7520599365234
"7957",2021-08-15 05:00:00,68.6748428344727
"7958",2021-08-15 05:15:00,68.5204010009766
"7959",2021-08-15 05:30:00,68.3659591674805
"7960",2021-08-15 05:45:00,68.2887420654297
"7961",2021-08-15 06:00:00,68.0570755004883
"7962",2021-08-15 06:15:00,67.9798583984375
"7963",2021-08-15 06:30:00,67.9026336669922
"7964",2021-08-15 06:45:00,67.8254165649414
"7965",2021-08-15 07:00:00,67.7481918334961
"7966",2021-08-15 07:15:00,67.6709747314453
"7967",2021-08-15 07:30:00,67.59375
"7968",2021-08-15 07:45:00,67.5165328979492
"7969",2021-08-15 08:00:00,67.4393081665039
"7970",2021-08-15 08:15:00,67.5165328979492
"7971",2021-08-15 08:30:00,67.3620910644531
"7972",2021-08-15 08:45:00,67.4393081665039
"7973",2021-08-15 09:00:00,67.3620910644531
"7974",2021-08-15 09:15:00,67.4393081665039
"7975",2021-08-15 09:30:00,67.5165328979492
"7976",2021-08-15 09:45:00,67.59375
"7977",2021-08-15 10:00:00,67.6709747314453
"7978",2021-08-15 10:15:00,67.7481918334961
"7979",2021-08-15 10:30:00,67.6709747314453
"7980",2021-08-15 10:45:00,67.9026336669922
"7981",2021-08-15 11:00:00,67.9026336669922
"7982",2021-08-15 11:15:00,68.0570755004883
"7983",2021-08-15 11:30:00,68.1343002319336
"7984",2021-08-15 11:45:00,68.2887420654297
"7985",2021-08-15 12:00:00,68.3659591674805
"7986",2021-08-15 12:15:00,68.5204010009766
"7987",2021-08-15 12:30:00,68.5976181030273
"7988",2021-08-15 12:45:00,68.7520599365234
"7989",2021-08-15 13:00:00,68.9065017700195
"7990",2021-08-15 13:15:00,69.1381683349609
"7991",2021-08-15 13:30:00,69.3698272705078
"7992",2021-08-15 13:45:00,69.4470520019531
"7993",2021-08-15 14:00:00,69.5242691040039
"7994",2021-08-15 14:15:00,69.8331527709961
"7995",2021-08-15 14:30:00,69.9103698730469
"7996",2021-08-15 14:45:00,69.8331527709961
