ObjectID,GlobalID,Date_HU,Time_HU,SiteID_HU,Crew_HU,Habitat Unit Type,Habitat Unit Start Position,Habitat Unit End Position,Habitat Unit Length (m),Secondary Channel Present?,Velocity,Depth Max (nearest 0.01m),Width Wetted Avg (nearest 0.1m),Pool Forming Feature,Large Woody Debris,Dominant Substrate,Subdominant Substrate,Canopy Cover,Instream Cover,HU Comment (free text),ParentGlobalID,CreationDate,Creator,EditDate,Editor
100,e009a756-7af2-4d90-9235-a98e9e545916,5/21/2021 4:00:00 PM,11:31,THB006,"Dean, will ",pool,,56.5,,none,swift,0.48,4,boulder,,,,70,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
101,4c1ec13a-f08f-4e19-85a0-d0b76550840a,5/21/2021 4:00:00 PM,11:33,THB006,"Dean, will ",run,,73,,none,swift,0.32,4.5,,0,,,70,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
102,0db10e3f-9c4f-4900-b4c6-06c00a0b0d1c,5/21/2021 4:00:00 PM,11:35,THB006,"Dean, will ",pool,,76.5,,none,swift,0.58,3,boulder,0,,,50,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
103,d6fd5f59-e3f6-4c5c-9244-29720e7248cf,5/21/2021 4:00:00 PM,11:44,THB006,"Dean, will ",run,,100,,fast,swift,0.3,4,,0,,,80,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
104,a23193b7-1363-4656-9019-7e4a0838f897,4/30/2021 4:00:00 PM,11:26,PTB005,Dean and Annie,run,,20,,none,swift,0.88,6.2,,0,siltClay,siltClay,10,terrestrialVeg,,10a0f166-e9b3-4035-80ce-7b72d5603c5a,5/21/2021 4:16:46 PM,,5/21/2021 4:16:46 PM,
105,3f8bd143-1817-4fde-a320-5069004d6abc,4/30/2021 4:00:00 PM,11:28,PTB005,Dean and Annie,run,,35,,none,swift,1,6,,1,siltClay,sand,10,"terrestrialVeg,largeWoodyDebris",,10a0f166-e9b3-4035-80ce-7b72d5603c5a,5/21/2021 4:16:46 PM,,5/21/2021 4:16:46 PM,
106,12bde330-5d51-4b3f-b1bb-470940362e16,4/30/2021 4:00:00 PM,11:39,PTB005,Dean and Annie,run,,53,,none,swift,0.23,6,,2,sand,gravel,10,"terrestrialVeg,largeWoodyDebris",,10a0f166-e9b3-4035-80ce-7b72d5603c5a,5/21/2021 4:16:46 PM,,5/21/2021 4:16:46 PM,
107,ec5f7d88-2b24-4359-bae8-94e66cd6e120,4/30/2021 4:00:00 PM,11:41,PTB005,Dean and Annie,run,,75,,none,swift,0.22,6,,1,siltClay,siltClay,20,"terrestrialVeg,largeWoodyDebris",,10a0f166-e9b3-4035-80ce-7b72d5603c5a,5/21/2021 4:16:46 PM,,5/21/2021 4:16:46 PM,
108,6778e14c-7088-49c7-b062-a9b15d3a37ee,4/30/2021 4:00:00 PM,11:44,PTB005,Dean and Annie,run,,100,,none,swift,0.22,6.3,,0,sand,gravel,20,terrestrialVeg,,10a0f166-e9b3-4035-80ce-7b72d5603c5a,5/21/2021 4:16:46 PM,,5/21/2021 4:16:46 PM,
109,cc90a572-7bae-42c9-9d06-0aabcb2a6ec4,5/21/2021 4:00:00 PM,11:18,MOB007.5,Annie and Emma ,riffle,,4.1,,none,swift,0.25,2.1,,0,cobble,gravel,10,None,,666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
110,4420a166-3615-469c-b38c-3d57fc455155,5/21/2021 4:00:00 PM,11:21,MOB007.5,Annie and Emma ,run,,28.5,,fast,swift,0.31,6.2,,1,gravel,sand,30,terrestrialVeg,,666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
111,6479bfd8-a5d8-48e8-9931-a10dd83fc641,5/21/2021 4:00:00 PM,11:26,MOB007.5,Annie and Emma ,pool,,40,,slow,standing,0.42,4.8,beaver,10,gravel,sand,50,"largeWoodyDebris,terrestrialVeg,undercutBanks",,666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
112,d2bcc42c-4fbd-4421-a211-5990ce2e9acb,5/21/2021 4:00:00 PM,11:31,MOB007.5,Annie and Emma ,run,,74,,none,swift,0.46,5.9,,15,gravel,sand,30,"undercutBanks,terrestrialVeg",End at what seems like the remnants of a human made dam with a rope over it (to walk across?),666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
113,8026789b-a045-4cdf-91da-160c1e5482d3,5/21/2021 4:00:00 PM,11:40,MOB007.5,Annie and Emma ,pool,,86,,none,slow,0.6,9.6,large woody debris,5,gravel,siltClay,20,"largeWoodyDebris,terrestrialVeg",Woody debris looks manmade,666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
114,9e54f8db-86e2-4062-900d-3bbeaded6d5c,5/21/2021 4:00:00 PM,11:49,MOB007.5,Annie and Emma ,run,,100,,slow,slow,0.65,6.1,,20,sand,siltClay,20,"largeWoodyDebris,terrestrialVeg",,666ac11f-7b19-42ad-b2e1-be0edf2581d9,5/21/2021 4:16:50 PM,,5/21/2021 4:16:50 PM,
115,3c9116fc-81b1-4b59-a163-b151f0a0da2c,4/30/2021 4:00:00 PM,12:23,Beb005,D Devine E Tobin,riffle,,30,,none,swift,0.36,3.4,,0,boulder,cobble,0,"whitewater,largeSubstrate",Channelized by stone walls. Habitat is much better down stream,1b36200d-d4af-4eac-b1ae-d9f8b1b4d773,5/21/2021 4:40:13 PM,,5/21/2021 4:40:13 PM,
116,a57f931e-d1bb-4c86-9b1b-6b811d85aeb7,4/30/2021 4:00:00 PM,12:33,Beb005,D Devine E Tobin,riffle,,43,,none,swift,0.27,3.3,,0,cobble,gravel,100,other,Under bridge ,1b36200d-d4af-4eac-b1ae-d9f8b1b4d773,5/21/2021 4:40:13 PM,,5/21/2021 4:40:13 PM,
117,31f831a3-9348-4290-98ed-7f62bafb93e4,4/30/2021 4:00:00 PM,12:36,Beb005,D Devine E Tobin,riffle,,50.7,,none,swift,0.33,4.1,,1,boulder,gravel,10,largeSubstrate,,1b36200d-d4af-4eac-b1ae-d9f8b1b4d773,5/21/2021 4:40:13 PM,,5/21/2021 4:40:13 PM,
118,54a3c4ad-3292-47c4-90c1-4c057670e00e,4/30/2021 4:00:00 PM,12:41,Beb005,D Devine E Tobin,pool,,74,,none,slow,0.45,9.3,artificial,1,siltClay,sand,10,largeSubstrate,,1b36200d-d4af-4eac-b1ae-d9f8b1b4d773,5/21/2021 4:40:13 PM,,5/21/2021 4:40:13 PM,
119,31aabf57-e8e5-462e-a9c9-a50a33d0c210,4/30/2021 4:00:00 PM,12:53,Beb005,D Devine E Tobin,pool,,100,,none,slow,0.74,8.2,large woody debris,1,siltClay,sand,10,"aquaticVeg,terrestrialVeg",,1b36200d-d4af-4eac-b1ae-d9f8b1b4d773,5/21/2021 4:40:13 PM,,5/21/2021 4:40:13 PM,
